ART.AHU.AH01.CCO
ART.AHU.AH02.RSP5
ART.AHU.AH02.RSP6
ART.AHU.AH02.SF.Speed
ART.AHU.AH02.SF.Start Stop
ART.AHU.AH02.SF.Status
ART.AHU.AH02.Supply Static Pressure
ART.AHU.AH02.Supply Static Pressure Setpoint
ART.AHU.AH02.ZN4 COLDDMP
ART.AHU.AH02.ZN4 HOTDMP
ART.AHU.AH02.ZN4.Supply Air Temp
ART.AHU.AH02.ZN4.Supply Air Temp Setpoint
ART.AHU.AH02.ZN5 COLDDMP
ART.AHU.AH02.ZN5 HOTDMP
ART.AHU.AH02.ZN5.Supply Air Temp
ART.AHU.AH02.ZN5.Supply Air Temp Setpoint
ART.AHU.AH02.ZN6 COLDDMP
ART.AHU.AH02.ZN6 HOTDMP
ART.AHU.AH02.ZN6.Supply Air Temp
ART.AHU.AH02.ZN6.Supply Air Temp Setpoint
ART.AHU.AH03.CCO
ART.AHU.AH03.CCV
ART.AHU.AH03.CDS
ART.AHU.AH03.CDT
ART.AHU.AH03.Chilled Water Return Temp
ART.AHU.AH03.FREEZE
ART.AHU.AH03.HCO
ART.AHU.AH03.HCV
ART.AHU.AH03.HDS
ART.AHU.AH03.HDT
ART.AHU.AH03.HEAT.COOL MODE
ART.AHU.AH03.Outside Air Temp Virtual
ART.AHU.AH03.RMT AVG
ART.AHU.AH03.RMT7
ART.AHU.AH03.RMT8
ART.AHU.AH03.RMT9
ART.AHU.AH03.RSP7
ART.AHU.AH03.RSP8
ART.AHU.AH03.RSP9
ART.AHU.AH03.SF.Speed
ART.AHU.AH03.SF.Start Stop
ART.AHU.AH03.Supply Static Pressure
ART.AHU.AH03.ZN7 HOTDMP
ART.AHU.AH03.ZN7.Supply Air Temp
ART.AHU.AH03.ZN7.Supply Air Temp Setpoint
ART.AHU.AH03.ZN8 HOTDMP
ART.AHU.AH03.ZN8.Supply Air Temp
ART.AHU.AH03.ZN8.Supply Air Temp Setpoint
ART.AHU.AH03.ZN9 HOTDMP
ART.AHU.AH03.ZN9.Supply Air Temp
ART.AHU.AH03.ZN9.Supply Air Temp Setpoint
ART.AHU.AHU01.Run Status
ART.AHU.AHU01.Run Status Sum
ART.AHU.AHU02.Run Status
ART.AHU.AHU02.Run Status Sum
ART.AHU.AHU03.Run Status
ART.AHU.AHU03.Run Status Sum
ART.BLDG.1ST_2ND.STATIC
ART.BLDG.3RD.STATIC
ART.BLDG.3RD.STATIC AVG
ART.CHW.Building Diff Pressure
ART.CHW.End of Line Diff Pressure
ART.CHW.End of Line Diff Pressure Setpoint
ART.CHW.PUMP1.Speed
ART.CHW.PUMP1.Start Stop
ART.EF.EF01.Speed
ART.EF.EF01.Start Stop
ART.EF.EF01.STATUS
ART.EF.EF02.Speed
ART.EF.EF02.Start Stop
ART.FC.SF.Start Stop
ART.FC1.RM0051.Day Night
ART.FC1.RM0051.Heat Cool
ART.FC1.RM0051.Zone Air Temp
ART.FC1.RM0051:AUX TEMP
ART.FC1.RM0051:CLG LOOPOUT
ART.FC1.RM0051:CTL STPT
ART.FC1.RM0051:CTL TEMP
ART.FC1.RM0051:FAN
ART.FC1.RM0051:HTG LOOPOUT
ART.FC1.RM0051:RM STPT DIAL
ART.FC1.RM0051:STAGE FAN
ART.FC1.RM0051:STPT DIAL
ART.FC1.RM0051:VLV 1 COMD
ART.FC1.RM0051:VLV 2 COMD
ART.FC1.SFSS
ART.FC2.RM0060.Day Night
ART.FC2.RM0060.Heat Cool
ART.FC2.RM0060.Zone Air Temp
ART.FC2.RM0060:AUX TEMP
ART.FC2.RM0060:CLG LOOPOUT
ART.FC2.RM0060:CTL STPT
ART.FC2.RM0060:CTL TEMP
ART.FC2.RM0060:FAN
ART.FC2.RM0060:RM STPT DIAL
ART.FC2.RM0060:STAGE FAN
ART.FC2.RM0060:STPT DIAL
ART.FC2.RM0060:VLV 1 COMD
ART.FC2.RM0060:VLV 2 COMD
ART.FC2.SFSS
ART.FC3.RM0054.Day Night
ART.FC3.RM0054.Heat Cool
ART.FC3.RM0054.Zone Air Temp
ART.FC3.RM0054:AUX TEMP
ART.FC3.RM0054:CLG LOOPOUT
ART.FC3.RM0054:CTL STPT
ART.FC3.RM0054:CTL TEMP
ART.FC3.RM0054:FAN
ART.FC3.RM0054:HTG LOOPOUT
ART.FC3.RM0054:RM STPT DIAL
ART.FC3.RM0054:STAGE FAN
ART.FC3.RM0054:STPT DIAL
ART.FC3.RM0054:VLV 1 COMD
ART.FC3.RM0054:VLV 2 COMD
ART.FC3.SFSS
ART.FC4.RM0055.Day Night
ART.FC4.RM0055.Heat Cool
ART.FC4.RM0055.Zone Air Temp
ART.FC4.RM0055:AUX TEMP
ART.FC4.RM0055:CTL STPT
ART.FC4.RM0055:CTL TEMP
ART.FC4.RM0055:FAN
ART.FC4.RM0055:HTG LOOPOUT
ART.FC4.RM0055:RM STPT DIAL
ART.FC4.RM0055:STAGE FAN
ART.FC4.RM0055:STPT DIAL
ART.FC4.RM0055:VLV 1 COMD
ART.FC4.RM0055:VLV 2 COMD
ART.FC4.SFSS
ART.HHW.Building Diff Pressure
ART.HHW.End of Line Diff Pressure Setpoint
ART.HHW.PUMP1.Speed
ART.HHW.PUMP1.Start Stop
ART.HHW.PUMP1.STATUS
ART.HV01.HCV
ART.HV01.STATUS
ART.HV01.Supply Air Temp
ART.HV01.Supply Air Temp Setpoint
ART.MAIN.Outside Air Temp
